run_id,type,timestep,recourse,cost
0,CFR (robust),0,1.0,3.7548661270141603
0,CFR (robust),1,0.9,3.7548661270141603
0,CFR (robust),2,0.864,3.7548661270141603
0,CFR (robust),3,0.832,3.7548661270141603
0,CFR (robust),4,0.852,3.7548661270141603
0,CFR (robust),5,0.772,3.7548661270141603
0,CFR (robust),6,0.832,3.7548661270141603
0,CFR (robust),7,0.808,3.7548661270141603
0,CFR (robust),8,0.8,3.7548661270141603
0,CFR (robust),9,0.816,3.7548661270141603
0,CFR (robust),10,0.824,3.7548661270141603
0,CFR (robust),11,0.824,3.7548661270141603
0,CFR (robust),12,0.78,3.7548661270141603
0,CFR (robust),13,0.824,3.7548661270141603
0,CFR (robust),14,0.796,3.7548661270141603
0,CFR (robust),15,0.824,3.7548661270141603
0,CFR (robust),16,0.82,3.7548661270141603
0,CFR (robust),17,0.828,3.7548661270141603
0,CFR (robust),18,0.808,3.7548661270141603
0,CFR (robust),19,0.804,3.7548661270141603
0,CFR (robust),20,0.784,3.7548661270141603
0,CFR (robust),21,0.796,3.7548661270141603
0,CFR (robust),22,0.792,3.7548661270141603
0,CFR (robust),23,0.74,3.7548661270141603
0,CFR (robust),24,0.784,3.7548661270141603
0,CFR (robust),25,0.748,3.7548661270141603
0,CFR (robust),26,0.776,3.7548661270141603
0,CFR (robust),27,0.76,3.7548661270141603
0,CFR (robust),28,0.764,3.7548661270141603
0,CFR (robust),29,0.756,3.7548661270141603
0,CFR (robust),30,0.78,3.7548661270141603
0,CFR (robust),31,0.744,3.7548661270141603
0,CFR (robust),32,0.728,3.7548661270141603
0,CFR (robust),33,0.716,3.7548661270141603
0,CFR (robust),34,0.756,3.7548661270141603
0,CFR (robust),35,0.72,3.7548661270141603
0,CFR (robust),36,0.756,3.7548661270141603
0,CFR (robust),37,0.74,3.7548661270141603
0,CFR (robust),38,0.784,3.7548661270141603
0,CFR (robust),39,0.736,3.7548661270141603
0,CFR (robust),40,0.74,3.7548661270141603
0,CFR (robust),41,0.748,3.7548661270141603
0,CFR (robust),42,0.74,3.7548661270141603
0,CFR (robust),43,0.772,3.7548661270141603
0,CFR (robust),44,0.72,3.7548661270141603
0,CFR (robust),45,0.688,3.7548661270141603
0,CFR (robust),46,0.72,3.7548661270141603
0,CFR (robust),47,0.712,3.7548661270141603
0,CFR (robust),48,0.724,3.7548661270141603
0,CFR (robust),49,0.728,3.7548661270141603
0,CFR (robust),50,0.744,3.7548661270141603
0,SPR (robust),0,1.0,3.753774808883667
0,SPR (robust),1,0.9,3.753774808883667
0,SPR (robust),2,0.864,3.753774808883667
0,SPR (robust),3,0.832,3.753774808883667
0,SPR (robust),4,0.852,3.753774808883667
0,SPR (robust),5,0.772,3.753774808883667
0,SPR (robust),6,0.832,3.753774808883667
0,SPR (robust),7,0.808,3.753774808883667
0,SPR (robust),8,0.796,3.753774808883667
0,SPR (robust),9,0.816,3.753774808883667
0,SPR (robust),10,0.824,3.753774808883667
0,SPR (robust),11,0.824,3.753774808883667
0,SPR (robust),12,0.78,3.753774808883667
0,SPR (robust),13,0.824,3.753774808883667
0,SPR (robust),14,0.792,3.753774808883667
0,SPR (robust),15,0.824,3.753774808883667
0,SPR (robust),16,0.82,3.753774808883667
0,SPR (robust),17,0.828,3.753774808883667
0,SPR (robust),18,0.808,3.753774808883667
0,SPR (robust),19,0.804,3.753774808883667
0,SPR (robust),20,0.784,3.753774808883667
0,SPR (robust),21,0.796,3.753774808883667
0,SPR (robust),22,0.792,3.753774808883667
0,SPR (robust),23,0.74,3.753774808883667
0,SPR (robust),24,0.784,3.753774808883667
0,SPR (robust),25,0.748,3.753774808883667
0,SPR (robust),26,0.776,3.753774808883667
0,SPR (robust),27,0.76,3.753774808883667
0,SPR (robust),28,0.76,3.753774808883667
0,SPR (robust),29,0.756,3.753774808883667
0,SPR (robust),30,0.78,3.753774808883667
0,SPR (robust),31,0.744,3.753774808883667
0,SPR (robust),32,0.728,3.753774808883667
0,SPR (robust),33,0.716,3.753774808883667
0,SPR (robust),34,0.756,3.753774808883667
0,SPR (robust),35,0.72,3.753774808883667
0,SPR (robust),36,0.756,3.753774808883667
0,SPR (robust),37,0.74,3.753774808883667
0,SPR (robust),38,0.784,3.753774808883667
0,SPR (robust),39,0.736,3.753774808883667
0,SPR (robust),40,0.74,3.753774808883667
0,SPR (robust),41,0.748,3.753774808883667
0,SPR (robust),42,0.74,3.753774808883667
0,SPR (robust),43,0.768,3.753774808883667
0,SPR (robust),44,0.72,3.753774808883667
0,SPR (robust),45,0.688,3.753774808883667
0,SPR (robust),46,0.72,3.753774808883667
0,SPR (robust),47,0.712,3.753774808883667
0,SPR (robust),48,0.724,3.753774808883667
0,SPR (robust),49,0.728,3.753774808883667
0,SPR (robust),50,0.744,3.753774808883667
0,IMF (robust),0,1.0,3.7547533693313597
0,IMF (robust),1,0.9,3.7547533693313597
0,IMF (robust),2,0.864,3.7547533693313597
0,IMF (robust),3,0.832,3.7547533693313597
0,IMF (robust),4,0.852,3.7547533693313597
0,IMF (robust),5,0.772,3.7547533693313597
0,IMF (robust),6,0.832,3.7547533693313597
0,IMF (robust),7,0.808,3.7547533693313597
0,IMF (robust),8,0.8,3.7547533693313597
0,IMF (robust),9,0.816,3.7547533693313597
0,IMF (robust),10,0.824,3.7547533693313597
0,IMF (robust),11,0.824,3.7547533693313597
0,IMF (robust),12,0.78,3.7547533693313597
0,IMF (robust),13,0.824,3.7547533693313597
0,IMF (robust),14,0.796,3.7547533693313597
0,IMF (robust),15,0.824,3.7547533693313597
0,IMF (robust),16,0.82,3.7547533693313597
0,IMF (robust),17,0.828,3.7547533693313597
0,IMF (robust),18,0.808,3.7547533693313597
0,IMF (robust),19,0.804,3.7547533693313597
0,IMF (robust),20,0.784,3.7547533693313597
0,IMF (robust),21,0.796,3.7547533693313597
0,IMF (robust),22,0.792,3.7547533693313597
0,IMF (robust),23,0.74,3.7547533693313597
0,IMF (robust),24,0.784,3.7547533693313597
0,IMF (robust),25,0.748,3.7547533693313597
0,IMF (robust),26,0.776,3.7547533693313597
0,IMF (robust),27,0.76,3.7547533693313597
0,IMF (robust),28,0.764,3.7547533693313597
0,IMF (robust),29,0.756,3.7547533693313597
0,IMF (robust),30,0.78,3.7547533693313597
0,IMF (robust),31,0.744,3.7547533693313597
0,IMF (robust),32,0.728,3.7547533693313597
0,IMF (robust),33,0.716,3.7547533693313597
0,IMF (robust),34,0.756,3.7547533693313597
0,IMF (robust),35,0.72,3.7547533693313597
0,IMF (robust),36,0.756,3.7547533693313597
0,IMF (robust),37,0.74,3.7547533693313597
0,IMF (robust),38,0.784,3.7547533693313597
0,IMF (robust),39,0.736,3.7547533693313597
0,IMF (robust),40,0.74,3.7547533693313597
0,IMF (robust),41,0.748,3.7547533693313597
0,IMF (robust),42,0.74,3.7547533693313597
